gene,count
SMN2,1429
SMN1,1359
FUS,1146
FMR1,281
TERT,139
QKI,104
RBM3,88
MECP2,82
TARDBP,77
ATXN2,71
CPEB3,68
TIA1,54
TAF15,42
MATR3,40
RAN,40
CPEB1,40
PTBP1,39
ADAR,34
MVP,34
UPF3B,34
SFPQ,33
SETX,33
PQBP1,31
RBM4,31
EXOSC3,28
ZC3H14,28
PTBP2,27
G3BP1,26
RBFOX1,25
KHSRP,24
CPEB2,23
PCBP2,22
ANG,21
EWSR1,21
MBNL1,20
FUBP1,20
RBPMS,20
NOVA1,20
DNMT1,19
WRAP53,19
SYNCRIP,18
DGCR8,18
CIRBP,17
RBM45,17
TDRD3,17
CELF4,17
CPEB4,16
FXR1,15
ATXN1,15
SF1,15
NOVA2,15
PABPN1,14
SON,14
RBMX,14
LIN28A,14
ELAVL4,13
PNN,13
RBM5,13
TFAM,13
RBM10,12
NXF2,12
TLR3,12
SRSF1,12
STAU1,11
MKRN3,11
PURA,11
AGO2,11
PUM1,11
LIN28B,11
UPF1,10
IGHMBP2,10
HNRNPA1,10
SNRPN,10
MBNL2,9
PCBP1,9
RBFOX2,8
DRG2,8
CSDE1,8
IGF2BP1,8
EZH2,8
RBM11,8
CNP,8
MSI2,7
SRSF2,7
UBA1,7
PLRG1,7
NXF5,7
TRA2B,7
RALY,7
PABPC1,7
ISG20,7
ZFR,7
DYNLL1,6
EXOSC8,6
DAZL,6
GAPDH,6
FXR2,6
DROSHA,6
TLR7,6
DDX17,6
BICC1,6
TRIM21,6
TRIM56,5
RBFOX3,5
GLE1,5
THOC2,5
POLDIP3,5
AZGP1,5
SLBP,5
YTHDF1,5
NUFIP1,5
VARS,5
SKIV2L2,5
XPO1,5
PRPF8,5
SRSF6,5
SYF2,5
RNPS1,5
UPF2,4
RPP25,4
CLP1,4
PRPF3,4
ALYREF,4
NXF1,4
PIWIL1,4
GAR1,4
PPARGC1A,4
RBM24,4
DENR,4
PCF11,4
BRCA1,4
AIMP1,4
GEMIN2,4
JAKMIP1,4
DAZAP1,3
EXOSC9,3
USP10,3
CASC3,3
RP9,3
ADARB1,3
CNBP,3
DDX20,3
SRRM2,3
HNRNPA3,3
CPSF1,3
CELF1,3
CELF6,3
SECISBP2,3
SRP54,3
CWC22,3
PRPF40A,3
XRN1,3
RBM17,3
RBM8A,3
RBM14,3
STAU2,2
RPS14,2
ELAVL2,2
PSPC1,2
PARN,2
MTHFSD,2
XRN2,2
SMNDC1,2
LSM12,2
TDRKH,2
MBNL3,2
DDX58,2
DNMT3B,2
AQR,2
APTX,2
SF3B2,2
RPP30,2
PAPD4,2
POLR2A,2
UPF3A,2
DDX1,2
DDX3X,2
NOP56,2
PUF60,2
NPM1,2
RBM7,2
DDX6,2
MEX3D,2
SF3B1,2
SRSF5,2
SRSF9,2
TFB1M,2
YBX1,2
EIF4E,2
IARS2,2
PDCD4,2
CDC5L,1
MSI1,1
TPR,1
METTL3,1
ELAVL1,1
MKRN1,1
DHX36,1
DHX9,1
NONO,1
DICER1,1
PRKRA,1
LARP7,1
TIAL1,1
SRP72,1
EIF1,1
TNRC6A,1
TNRC6B,1
TSN,1
KIN,1
EIF4A3,1
IGF2BP2,1
IGF2BP3,1
PARK7,1
RNF113A,1
IPO5,1
LRPPRC,1
PCBP3,1
DYNC1H1,1
SRRM3,1
ABT1,1
ZFP36L2,1
AGO1,1
AGO3,1
PHAX,1
HNRNPA2B1,1
HNRNPD,1
RPL7,1
DDX47,1
TFB2M,1
NPM3,1
SNRPB,1
PTBP3,1
PRPF31,1
CELF2,1
DDX5,1
EFTUD2,1
MEX3C,1
DCP2,1
FBL,1
TGS1,1
XPO7,1
HNRNPH1,1
SART3,1
SRRM4,1
TOP1,1
TST,1
